Job Title,Job Type,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Company URL,Recommend Job
Senior Data Scientist,Job Type : Full-time,"₹752K - ₹1,007K (Glassdoor est.)","Relocation Assistance Offered Within Country
# 95044 - Mumbai, Maharashtra, India

What is the PURPOSE of your role?

This role is expected to apply strong expertise in data science and machine learning through leading data collection & mining, data analysis, data visualizations, and predictive/prescriptive modeling efforts to build, test, and maintain analytics solutions which meet key business needs. The ideal candidate will be experienced with 1) statistical and mathematical techniques to identify trends & anomalies, identify causal impacts, and develop predictions, 2) experimental design, 3) end-to-end model deployment and maintenance, 4) simple data engineering tasks like SQL querying for standard and ad-hoc data analysis, and 5) co-leading a small, multidisciplinary analytics team to generate actionable insights from internal client-facing analytics solutions. The ideal candidate will be a strong communicator with the ability to tell stories and draw insights from complex transformations of data for non-technical audiences. This role will work with an analytics translator, junior data scientist, data engineers, and key business partners to define the business problem in a way that can be solved analytically. Candidates in this role will lead the development of efficient and accurate analytical models (ranging from descriptive to prescriptive) and incorporate them into data products or tools which meaningfully make an impact on the business.",4.3,"Colgate-Palmolive
4.3",Mumbai,-1,10000+ Employees,1806,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),http://www.colgatepalmolive.com/,89 %
Data Scientist (BE/ B-tech 4-6 yrs),Job Type : Full-time,₹159K - ₹625K (Glassdoor est.),"CommerceIQ is Hiring Data Scientist (3-5 yrs)
At CommerceIQ, we are building the world’s most sophisticated E-commerce Channel Optimization software to help brands leverage Machine Learning, Analytics and Automation to grow their E-commerce business on all channels, globally.
Using CommerceIQ as a single source of truth, customers have driven 40% increase in incremental sales, 20% improvement in profitability and 32% reduction in out of stock rates on Amazon.
What You’ll Be Doing
As a Senior Data Scientist, you will work closely with Engineering/Product/Operations teams to build state-of-the-art ML based solutions for B2B SaaS products. This entails not only leveraging advanced techniques for predictions, time-series forecasting, topic modelling, optimisation but deep understanding of business and product too.",3.8,"CommerceIQ
3.8",Bangalore,-1,51 to 200 Employees,2012,Company - Private,Internet,Information Technology,$10 to $25 million (USD),http://www.commerceiq.ai/,77 %
Data Scientist (BE/ B-tech 4-6 yrs),Job Type : Full-time,₹159K - ₹625K (Glassdoor est.),"CommerceIQ is Hiring Data Scientist (3-5 yrs)
At CommerceIQ, we are building the world’s most sophisticated E-commerce Channel Optimization software to help brands leverage Machine Learning, Analytics and Automation to grow their E-commerce business on all channels, globally.
Using CommerceIQ as a single source of truth, customers have driven 40% increase in incremental sales, 20% improvement in profitability and 32% reduction in out of stock rates on Amazon.
What You’ll Be Doing
As a Senior Data Scientist, you will work closely with Engineering/Product/Operations teams to build state-of-the-art ML based solutions for B2B SaaS products. This entails not only leveraging advanced techniques for predictions, time-series forecasting, topic modelling, optimisation but deep understanding of business and product too.",3.8,"CommerceIQ
3.8",Bangalore,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.paypal.com/,79 %
Data Scientist 1,Job Type : Full-time,₹602K - ₹960K (Glassdoor est.),"Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 392 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
Job Description Summary: PayPal prides itself on providing experiences that power Customer Success on our platforms. We believe that conversational experiences and automation can provide valuable experiences for our customers by enabling immediate help in a way that is interactive and adapts to the customer's needs. The next-gen platforms that we build meet customer service needs across a variety of channels including Chatbot, Chat, Voice, Asynchronous Messaging and Self-Service. Our platform aims to resolve customer pain points efficiently, effectively and proactively through the use of AI/ML to accurately predict a customer's likelihood to need help and the intent behind seeking help. Our platforms also equip our customer support agents with tools to resolve customer problems quickly and comprehensively. These tools and experiences include AI/ML driven automation, Natural Language Understanding models, guided solution workflows, and compelling user interfaces. We are looking for a Data Scientist who will work on ML/DL models for Customer Success organisation, work with managers and operations to ensure that models meets reliability, accuracy, reusability and performance goals.",4.2,"PayPal
4.2",Bangalore,-1,5001 to 10000 Employees,2008,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,http://www.airbnb.com/,85 %
"Sr Data Scientist, Payments",Job Type : Full-time,₹438K - ₹731K (Glassdoor est.),"Airbnb is a mission-driven company dedicated to helping create a world where anyone can belong anywhere. It takes a unified team committed to our core values to achieve this goal. Airbnb's various functions embody the company's innovative spirit and our fast-moving team is committed to leading as a 21st century company.

The Challenge

Be a thought leader, partner with your cross-functional partners to foster a data driven payments organization.
With a focus on Payments compliance and keeping our platform safe, anticipate and detect new fraud trends and regulatory requirements.
Define and evaluate key metrics. Build the data foundation you need, in partnership with the data engineering team.
What you need to succeed

varying technical levels",4.2,"Airbnb
4.2",Bangalore,-1,1001 to 5000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),http://www.twitter.com/,83 %
Salesforce Data Analyst,Job Type : Full-time,₹348K - ₹464K (Glassdoor est.),"Because you belong at Twilio

The Who, What, Why and Where

Twilio is looking a Data Analyst to join the world class Sales Efficiency team. This role is exciting for an Analyst looking to work more closely with the business, apply their data expertise on the Salesforce platform to deliver impact, and expand the breadth of exposure beyond Salesforce!

You are right for this role if you excel at solving huge scale data problems, handling large volumes of data, and building outstanding data pipelines that drive impact! The ideal candidate is able to work with various business teams to understand their day to day data operations, produce quality reporting and analytics that articulate the business value and impact of data to the GTM organization and work on improvement in data management practices vital to drive growth, manage costs and meet compliance. You are a results-oriented individual who is motivated to take on problems with a ""can do"" attitude, and is comfortable asking questions.

This role reports into the Sales System Manager and will be based in Bangalore.

Who?

In this role, one will be working closely with our data partners and Salesforce engineering teams to enable data driven business insights while adhering to all compliance guidelines globally to seamlessly deliver outstanding GTM systems and operations across our streaming properties.

1+ years experience with Salesforce Platform

Exposure to hands-on Python and SQL coding in the context of data pipelining in a professional environment, and REST/SOAP API and in an environment that prioritizes data quality.

Demonstrable experience in executing data quality analysis exercises within sophisticated, federated data and system architecture.

Prior exposure to finance regulation such as SOX, and data regulations like GDPR, CCPA, HIPAA.

Solid experience in detailing the data requirements, data strategy, data rules (standardization, cleanse, and validation)

Ability to evaluate data risks and provide recommendations / solutions in a timely manner and experience working in or with order to cash, Pay-as-you-go business model and territory planning.

Experience with Tableau, Presto and Einstein Analytics.

Experience designing and deploying through Heroku.

What?


Understand business requirements and translate them into impactful specifications while working on the end-to-end data lifecycle in Salesforce platform including how data should be tracked and measured for analysis, reporting and data quality assurance.

Work with partners to outline and define data definitions and apply appropriate usage

Perform data audits, identify data collection issues, suggest improvements, and help implement fixes.

Work to support engineering teams tasked with ingestion of critical datasets as a domain specialist.

Perform cross system data investigations and analysis to discover data inconsistencies, outlining path to remediation for development teams.

Document and implement data quality policies, standards, and procedures for both legacy and new data environments.

Why?

The Sales Efficiency team is crucial for the success and scalability of our GTM org and its supporting teams. We are the custodians of the systems, processes, and data that powers the day-to-day interactions across the sales organization and lay the groundwork for future initiatives.

This is an outstanding opportunity to come in early and craft the future of a growing development team. You will have the opportunity to learn and grow your development skills alongside our solution and technical specialists, and deeply engage with end users that provide the feedback needed for you to master your trade.

Where?

This position will be located in RMZ Ecoworld office in Bangalore. Around the globe, Twilio offers benefits and perks to support the physical, financial, and emotional well being of you and your loved ones. No matter where you are based, you will experience a company that believes in small teams for maximum impact; seeks well-rounded talent to ensure a full perspective on our customers' experience, understands that this is a marathon, not a sprint; that continuously and purposefully builds an inclusive culture that empowers everyone to do their best work and be the best version of themselves.


Millions of developers around the world have used Twilio to unlock the magic of communications to improve any human experience. Twilio has democratized communications channels like voice, text, chat, video and email by virtualizing the world's communications infrastructure through APIs that are simple enough for any developer to use, yet robust enough to power the world's most demanding applications. By making communications a part of every software developer's toolkit, Twilio is enabling innovators across every industry — from emerging leaders to the world's largest organizations — to reinvent how companies engage with their customers.",-1,Twilio,Bangalore,-1,1001 to 5000 Employees,2008,Company - Public,Internet,Information Technology,$500 million to $1 billion (USD),http://www.twilio.com/,86 %
Data Scientist - Machine Learning (Commerce BU),Job Type : Full-time,"₹720K - ₹1,080K (Glassdoor est.)","Overview:
The Data Science and Machine Learning team works closely with sales, product and engineering teams to design and implement the next generation of retail solutions. Data Science team members bear the heavy burden of turning both small, sparse and massive data into actionable insights with measurable improvements to the customer bottom line. They use rigorous analysis and repeatable processes to implement both black box and interpretable models.
Responsibilities:
Under guidance, or independently, design and implement machine learning models by
Procuring data from platform, client and public data sources",4.3,"Blue Yonder
4.3",Bangalore,-1,1001 to 5000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $2 billion (USD),http://blueyonder.com/,87 %
Data Scientist - Machine Learning (Commerce BU),Job Type : Full-time,"₹720K - ₹1,080K (Glassdoor est.)","Overview:
The Data Science and Machine Learning team works closely with sales, product and engineering teams to design and implement the next generation of retail solutions. Data Science team members bear the heavy burden of turning both small, sparse and massive data into actionable insights with measurable improvements to the customer bottom line. They use rigorous analysis and repeatable processes to implement both black box and interpretable models.
Responsibilities:
Under guidance, or independently, design and implement machine learning models by
Procuring data from platform, client and public data sources",4.3,"Blue Yonder
4.3",Bangalore,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.microsoft.com/,90 %
Data & Applied Scientist 2,Job Type : Full-time,₹236K - ₹384K (Glassdoor est.),"The Microsoft Turing team is an innovative research and engineering team working on state-of-the-art deep learning models to power end user experiences across the company. Applied scientists and software engineers in the Turing team work together to push the boundaries of large-scale deep learning models on Turing’s world class distributed training infrastructure.

The team works on projects across the entire deep learning life-cycle. This includes deep learning models for language representation, language generation, image representations, and reinforcement learning which are then leveraged for down stream tasks for Bing, Office, Xbox, and more. Our Turing NLG (natural language generation) model is17 billion parametersand powers many generative models within Microsoft. The Turing ULR (universal language representation) model is currently the top model on theXTREME leaderboard. Additionally, we work on large-scale distributed training, improving training performance, and run-time optimized inference allowing us to utilize the power of large models in production scenarios with tight latency constraints. The scenarios our models power reach hundreds of millions of users every month and span across natural language processing, computer vision, video processing, reinforcement learning, and recommendation systems.",4.4,"Microsoft
4.4",Bangalore,-1,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,http://www.engineer.ai/,76 %
Data Scientist/ Sr Data Scientist,Job Type : Full-time,₹276K - ₹470K (Glassdoor est.),"What makes Gartner a GREAT fit for you? When you join Gartner, you’ll be part of a team with a no-limits mindset that helps the world become smarter and more connected. We’re the world’s leading research and advisory company that steers clients toward the right decisions with business and technology insights they can’t find anywhere else. Our associates enjoy a collaborative work environment with exceptional training and career development. If you like working with a curious, supportive, high-performing team, Gartner is the place for you.
Interested in learning more, view and register for any of our upcoming recruiting events here!
About the team:
This is a unique opportunity for a creative and charismatic individual to lead a team of data scientists of a data science research and product development team for Gartner Digital Products and Innovations Group, a fast-growing data science organization. Our mission is to drive increasing business impact by building world class data science practices. We are looking for a Senior data scientist to partner with product managers, business analysts and data engineers to build and launch Machine Learning and Artificial Intelligence Business capabilities related to search and other digital experiences. The person is expected to manage, mentor and help develop junior data science staffs.
Job Requisition ID:50864",-1,Gartner,Gurgaon,-1,10000+ Employees,1979,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),http://jobs.gartner.com/,72 %
